账号,活动类型,帖子内容（节选）,发布时间,点赞数,转推数,回复数,匹配关键词,帖子链接
@turnbasedlovers,其他,Indie JRPG Fate of Fire: Kyvedy Guardiah Brings Nine Protagonists and a World With Seven Days Left  https:// turnbasedlo,2026-03-18,15,1,1,jrpg,https://x.com/turnbasedlovers/status/2034345580210610347
@gelius__,Fest,Do you feel the same?  I have to be honest about #SteamNextFest  I always start the week with high hopes and very motiva,2026-02-28,38,1,14,fest,https://x.com/gelius__/status/2027762804464222484
@gelius__,Fest,MORE GAMES MORE GAMES MORE GAMES   I'm reviewing another 5 demos from #SteamNextFest   https:// youtu.be/rBE6G6WRQTM,2026-02-26,22,3,4,fest,https://x.com/gelius__/status/2027038663356375529
@gelius__,Fest,Find all the frogs that are hiding and also many other surprises   Game: Find my Frog: Branches  @myeye_studio   #indieg,2026-02-24,8,0,0,fest,https://x.com/gelius__/status/2026404857603649959
@gelius__,Fest,"Pirates, guns and monsters is all it takes to make a good video game   Game:  @project_warlock  Lost Chapters #IndieGame",2026-02-24,17,3,1,fest,https://x.com/gelius__/status/2026213650717872293
@gelius__,Steam Next Fest,NEW VIDEO   Let's play as many demos as possible from Steam Next Fest in my new video series called: I Played Demos from,2026-02-23,40,8,28,"fest, steam next fest",https://x.com/gelius__/status/2025945095258722621
@gelius__,Fest,#SteamNextFest is ON!  My upcoming week:,2026-02-23,12,1,1,fest,https://x.com/gelius__/status/2025997616069108165
@gelius__,Fest,This game looks so surreal that it should be illegal   Game: Replaced #IndieGame #SteamNextFest,2026-02-23,32,3,5,fest,https://x.com/gelius__/status/2025911079188980000
@gelius__,Steam Next Fest,Next Fest is back!!  Here's a manifesto about it! For me Steam Next Fest is the purest form of Indie Games expression. I,2026-02-23,15,3,3,"fest, steam next fest, indie game",https://x.com/gelius__/status/2025856427869266205
@iii_initiative,Showcase,"Looking for beautiful, atmospheric and mysterious games? We got you covered. Check out our showcase on April 9th for ann",2026-03-19,122,24,2,showcase,https://x.com/iii_initiative/status/2034667784945238077
@iii_initiative,Showcase,So proud we managed to push this hidden gem to success by revealing it in our first ever showcase! Horrible to think tha,2026-03-06,705,15,8,showcase,https://x.com/iii_initiative/status/2029958170743812531
@GoblinzPub,Indie Game,It's not Dungeon Keeper It's not Legend of Keepers It's not Rogue Tower  But if our indie game reminds you of them... we,2026-03-20,14,1,0,indie game,https://x.com/jverbroucht/status/2034999229479788577
@GoblinzPub,TurnBasedThursdayFest,It's a big week for #TurnBasedThursday! We're honored to host today’s thread on X during the #TurnBasedThursdayFest!   #,2026-03-12,129,60,83,fest,https://x.com/GoblinzPub/status/2032057116358308336
@GoblinzPub,TurnBasedThursdayFest,"Runeborn 1.0 update is here, just in time for the #TurnBasedThursdayFest!   What’s new?  New Runebooks & Areas  Enemy an",2026-03-10,20,3,0,fest,https://x.com/GoblinzPub/status/2031374828930834801
@GoblinzPub,TurnBasedThursdayFest,"Finally, this year's #TurnBasedThursdayFest is LIVE!   We’ve got massive surprises for you:  New game reveal  Release da",2026-03-09,29,6,0,fest,https://x.com/GoblinzPub/status/2031079315085873259
@11bitstudios,TurnBasedThursdayFest,#DeathHowl is part of #TurnBasedThursdayFest   Ro’s journey through the spirit world joins over 450 great turn-based tit,2026-03-10,27,7,1,"festival, fest",https://x.com/11bitstudios/status/2031399687844929641
@11bitstudios,其他,We’re starting public playtests for the brand new REBIRTH Mode in #DeathHowl   Unlocked after completing the game on Nor,2026-02-19,41,7,4,game on,https://x.com/11bitstudios/status/2024506821818429808
@ansharpublish,PAX,"Happy to announce #Moldwasher will be making a splash at #PAXEast in Boston!  Stop by booth No. 15078 to play our game, ",2026-03-19,7,3,1,pax,https://x.com/moldwasher/status/2034527050799698001
@ansharpublish,Showcase,"Super excited for The MIX!  @indieexchange  The Spring showcase begins this Monday, both Online and On-site in San Franc",2026-03-05,3,1,0,showcase,https://x.com/moldwasher/status/2029558072314606056
@ansharpublish,Showcase,"You can peep these dope games soon during our Spring Showcase ONLINE + ONSITE, March 9th!    HYPERBEAT -  @hyperbeatgame",2026-03-04,20,8,2,showcase,https://x.com/indieexchange/status/2029240455016399080
